country,city_actual,rating_count,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,offer_cat,year,distance,distance_alter,accommodation_type,nnights,rating
Austria,Vienna,115.0,City centre,Donauturm,Innere Stadt,218,Vienna,4.0,4.5,475.0,0,22012,1,15-50% offer,2017,0.1,2.7,Hotel,1,4.5
Austria,Vienna,110.0,City centre,Donauturm,Innere Stadt,135,Vienna,3.0,3.5,162.0,0,22013,1,15-50% offer,2017,0.3,2.6,Hotel,1,3.9
Austria,Vienna,16.0,City centre,Donauturm,Innere Stadt,219,Vienna,2.0,,,1,22014,1,15-50% offer,2017,0.6,2.6,Apartment,1,4.0
Austria,Vienna,467.0,City centre,Donauturm,Innere Stadt,179,Vienna,4.0,4.5,423.0,1,22016,0,0% no offer,2017,0.5,3.3,Hotel,1,4.4
Austria,Vienna,650.0,City centre,Donauturm,Innere Stadt,157,Vienna,4.0,4.5,1380.0,0,22018,1,1-15% offer,2017,0.7,3.5,Hotel,1,4.5
Austria,Vienna,95.0,City centre,Donauturm,Innere Stadt,146,Vienna,4.0,4.5,770.0,1,22019,0,0% no offer,2017,0.3,2.8,Hotel,1,4.5
Austria,Vienna,564.0,City centre,Donauturm,Innere Stadt,200,Vienna,5.0,4.0,1850.0,0,22020,1,15-50% offer,2017,0.4,2.9,Hotel,1,4.3
Austria,Vienna,168.0,City centre,Donauturm,Innere Stadt,157,Vienna,4.0,4.0,392.0,1,22021,0,0% no offer,2017,0.1,2.8,Hotel,1,4.1
Austria,Vienna,175.0,City centre,Donauturm,Innere Stadt,108,Vienna,3.0,3.5,234.0,1,22023,1,15-50% offer,2017,0.3,2.5,Hotel,1,3.5
Austria,Vienna,426.0,City centre,Donauturm,Innere Stadt,127,Vienna,4.0,4.0,840.0,0,22026,1,15-50% offer,2017,0.8,3.1,Hotel,1,4.0
Austria,Vienna,1.0,City centre,Donauturm,Innere Stadt,114,Vienna,3.0,,,1,22027,0,0% no offer,2017,0.7,3.0,Guest House,1,3.0
Austria,Vienna,148.0,City centre,Donauturm,Innere Stadt,163,Vienna,4.0,4.0,388.0,1,22028,0,0% no offer,2017,0.4,2.7,Hotel,1,4.1
Austria,Vienna,163.0,City centre,Donauturm,Innere Stadt,116,Vienna,4.0,4.5,212.0,1,22029,1,15-50% offer,2017,0.2,2.8,Apart-hotel,1,4.5
Austria,Vienna,493.0,City centre,Donauturm,Innere Stadt,226,Vienna,5.0,4.5,2985.0,0,22030,1,15-50% offer,2017,0.5,3.3,Hotel,1,4.3
Austria,Vienna,56.0,City centre,Donauturm,Innere Stadt,231,Vienna,4.0,4.5,282.0,0,22031,1,15-50% offer,2017,0.1,2.7,Hotel,1,4.4
Austria,Vienna,247.0,City centre,Donauturm,Innere Stadt,116,Vienna,4.0,4.5,1274.0,1,22032,1,15-50% offer,2017,0.4,2.6,Hotel,1,4.4
Austria,Vienna,169.0,City centre,Donauturm,Innere Stadt,76,Vienna,3.0,4.0,167.0,1,22033,1,15-50% offer,2017,0.4,2.6,Guest House,1,3.7
Austria,Vienna,1.0,City centre,Donauturm,Innere Stadt,135,Vienna,3.5,,,1,22034,0,0% no offer,2017,0.3,2.6,Apartment,1,1.0
Austria,Vienna,599.0,City centre,Donauturm,Innere Stadt,184,Vienna,5.0,4.5,1330.0,0,22035,1,15-50% offer,2017,0.6,2.7,Hotel,1,4.5
Austria,Vienna,258.0,City centre,Donauturm,Innere Stadt,384,Vienna,5.0,5.0,1207.0,0,22036,1,15-50% offer,2017,0.6,2.5,Hotel,1,4.8
Austria,Vienna,703.0,City centre,Donauturm,Innere Stadt,166,Vienna,4.0,4.0,1592.0,1,22037,1,15-50% offer,2017,0.6,2.8,Hotel,1,4.3
Austria,Vienna,230.0,City centre,Donauturm,Innere Stadt,187,Vienna,5.0,4.0,468.0,0,22038,1,15-50% offer,2017,0.5,3.1,Hotel,1,4.1
Austria,Vienna,112.0,City centre,Donauturm,Innere Stadt,371,Vienna,5.0,4.5,1319.0,0,22039,1,1-15% offer,2017,0.5,3.1,Hotel,1,4.6
Austria,Vienna,278.0,City centre,Donauturm,Innere Stadt,156,Vienna,4.0,4.5,272.0,1,22040,0,0% no offer,2017,0.1,2.7,Pension,1,4.4
Austria,Vienna,81.0,City centre,Donauturm,Innere Stadt,169,Vienna,4.0,4.5,561.0,1,22042,0,0% no offer,2017,0.3,2.5,Hotel,1,4.5
Austria,Vienna,15.0,City centre,Donauturm,Innere Stadt,266,Vienna,5.0,,,1,22044,0,0% no offer,2017,0.3,2.6,Apartment,1,4.5
Austria,Vienna,203.0,City centre,Donauturm,Innere Stadt,131,Vienna,3.0,4.0,338.0,1,22045,1,15-50% offer,2017,0.1,2.9,Pension,1,3.9
Austria,Vienna,150.0,City centre,Donauturm,Innere Stadt,168,Vienna,4.0,4.5,154.0,1,22046,0,0% no offer,2017,0.2,2.8,Apartment,1,4.6
Austria,Vienna,404.0,City centre,Donauturm,Innere Stadt,242,Vienna,4.0,4.5,2165.0,0,22050,1,1-15% offer,2017,0.0,2.8,Hotel,1,4.8
Austria,Vienna,123.0,City centre,Donauturm,Innere Stadt,223,Vienna,4.0,3.5,276.0,1,22051,0,0% no offer,2017,0.5,2.4,Hotel,1,3.5
Austria,Vienna,653.0,City centre,Donauturm,Innere Stadt,149,Vienna,4.0,4.5,930.0,1,22052,1,15-50% offer,2017,0.3,2.7,Hotel,1,4.4
Austria,Vienna,388.0,City centre,Donauturm,Innere Stadt,114,Vienna,4.0,4.0,836.0,0,22054,1,15-50% offer,2017,0.5,2.3,Hotel,1,4.0
Austria,Vienna,1.0,City centre,Donauturm,Innere Stadt,253,Vienna,3.5,,,1,22055,0,0% no offer,2017,0.1,2.8,Apartment,1,2.0
Austria,Vienna,230.0,City centre,Donauturm,Innere Stadt,163,Vienna,4.0,4.5,203.0,1,22057,1,15-50% offer,2017,0.3,2.6,Apart-hotel,1,4.4
Austria,Vienna,69.0,City centre,Donauturm,Innere Stadt,116,Vienna,3.0,4.5,774.0,1,22059,1,15-50% offer,2017,0.4,3.1,Pension,1,4.1
Austria,Vienna,34.0,City centre,Donauturm,Innere Stadt,139,Vienna,4.0,3.5,54.0,1,22061,1,1-15% offer,2017,0.2,2.9,Hotel,1,3.5
Austria,Vienna,6.0,City centre,Donauturm,Innere Stadt,91,Vienna,3.5,,,1,22063,0,0% no offer,2017,0.2,2.7,Apartment,1,3.2
Austria,Vienna,102.0,City centre,Donauturm,Josefstadt,79,Vienna,3.0,3.5,127.0,1,22064,1,1-15% offer,2017,1.4,3.6,Hotel,1,3.5
Austria,Vienna,65.0,City centre,Donauturm,Josefstadt,66,Vienna,4.0,3.5,85.0,1,22065,1,15-50% offer,2017,1.1,3.2,Pension,1,3.7
Austria,Vienna,9.0,City centre,Donauturm,Josefstadt,100,Vienna,3.0,4.0,17.0,1,22066,1,1-15% offer,2017,1.1,3.2,Apartment,1,3.0
Austria,Vienna,11.0,City centre,Donauturm,Josefstadt,75,Vienna,2.5,3.5,33.0,1,22067,1,1-15% offer,2017,1.3,3.4,Pension,1,3.0
Austria,Vienna,51.0,City centre,Donauturm,Josefstadt,73,Vienna,2.0,3.0,87.0,1,22068,0,0% no offer,2017,1.2,3.3,Pension,1,3.5
Austria,Vienna,298.0,City centre,Donauturm,Josefstadt,127,Vienna,5.0,4.0,876.0,1,22069,1,1-15% offer,2017,0.8,3.4,Hotel,1,4.1
Austria,Vienna,354.0,City centre,Donauturm,Josefstadt,110,Vienna,3.0,4.0,419.0,0,22071,1,15-50% offer,2017,0.9,3.4,Hotel,1,4.1
Austria,Vienna,92.0,City centre,Donauturm,Josefstadt,88,Vienna,3.0,4.0,509.0,1,22072,1,15-50% offer,2017,0.9,3.3,Hotel,1,4.4
Austria,Vienna,66.0,City centre,Donauturm,Josefstadt,59,Vienna,3.0,4.0,88.0,0,22073,1,15-50% offer,2017,1.2,3.5,Pension,1,3.7
Austria,Vienna,128.0,City centre,Donauturm,Josefstadt,59,Vienna,3.0,4.0,967.0,1,22075,1,50%-75% offer,2017,1.6,3.7,Hotel,1,3.9
Austria,Vienna,530.0,City centre,Donauturm,Josefstadt,119,Vienna,4.0,4.0,1358.0,0,22076,1,1-15% offer,2017,0.9,3.4,Hotel,1,4.0
Austria,Vienna,342.0,City centre,Donauturm,Josefstadt,152,Vienna,4.0,4.0,1461.0,0,22077,1,1-15% offer,2017,0.9,3.4,Hotel,1,4.3
Austria,Vienna,194.0,City centre,Donauturm,Josefstadt,102,Vienna,4.0,4.0,346.0,0,22078,1,1-15% offer,2017,1.0,3.4,Hotel,1,4.0
Austria,Vienna,1.0,City centre,Donauturm,Josefstadt,363,Vienna,3.5,,,1,22079,1,1-15% offer,2017,1.5,3.5,Apartment,1,5.0
Austria,Vienna,63.0,City centre,Donauturm,Josefstadt,54,Vienna,3.0,3.0,85.0,1,22080,1,15-50% offer,2017,1.1,3.4,Hotel,1,3.2
Austria,Vienna,67.0,City centre,Donauturm,Josefstadt,101,Vienna,3.0,4.0,44.0,1,22081,1,15-50% offer,2017,1.1,3.3,Apartment,1,4.0
Austria,Vienna,84.0,City centre,Donauturm,Josefstadt,75,Vienna,2.0,4.5,304.0,1,22082,1,15-50% offer,2017,0.9,3.5,Hotel,1,4.0
Austria,Vienna,30.0,City centre,Donauturm,Josefstadt,73,Vienna,2.0,4.0,103.0,1,22083,1,1-15% offer,2017,0.9,3.5,Hotel,1,3.9
Austria,Vienna,169.0,City centre,Donauturm,Josefstadt,94,Vienna,3.0,4.0,452.0,1,22084,1,15-50% offer,2017,1.0,3.4,Hotel,1,4.1
Austria,Vienna,65.0,City centre,Donauturm,Josefstadt,64,Vienna,4.0,4.0,251.0,1,22085,1,15-50% offer,2017,1.1,3.3,Pension,1,3.5
Austria,Vienna,91.0,City centre,Donauturm,Josefstadt,81,Vienna,3.5,3.5,260.0,0,22086,1,15-50% offer,2017,1.0,3.3,Apart-hotel,1,3.7
Austria,Vienna,1.0,City centre,Donauturm,Josefstadt,162,Vienna,3.0,,,1,22087,1,15-50% offer,2017,1.6,4.0,Apartment,1,4.0
Austria,Vienna,765.0,City centre,Donauturm,Josefstadt,115,Vienna,4.0,4.5,2150.0,0,22088,1,15-50% offer,2017,0.9,3.5,Hotel,1,4.5
Austria,Vienna,80.0,City centre,Donauturm,Josefstadt,101,Vienna,4.0,4.5,90.0,1,22089,1,15-50% offer,2017,1.2,3.8,Apartment,1,4.4
Austria,Vienna,43.0,City centre,Donauturm,Josefstadt,68,Vienna,3.0,3.5,182.0,1,22090,1,15-50% offer,2017,0.9,3.2,Hotel,1,3.7
Austria,Vienna,78.0,City centre,Donauturm,Kaerntner Strasse,354,Vienna,5.0,4.5,1504.0,0,22092,1,1-15% offer,2017,0.4,3.2,Hotel,1,4.5
Austria,Vienna,184.0,City centre,Donauturm,Kaerntner Strasse,153,Vienna,4.0,4.0,700.0,1,22093,1,15-50% offer,2017,0.2,3.0,Hotel,1,4.1
Austria,Vienna,276.0,City centre,Donauturm,Kaerntner Strasse,202,Vienna,5.0,4.0,615.0,1,22094,1,15-50% offer,2017,0.2,3.0,Hotel,1,4.3
Austria,Vienna,313.0,City centre,Donauturm,Kaerntner Strasse,169,Vienna,4.0,4.0,760.0,1,22095,1,1-15% offer,2017,0.3,3.1,Hotel,1,4.1
Austria,Vienna,323.0,City centre,Donauturm,Kaerntner Strasse,182,Vienna,4.0,4.5,327.0,0,22097,1,1-15% offer,2017,0.5,3.3,Hotel,1,4.5
Austria,Vienna,90.0,City centre,Donauturm,Kaerntner Strasse,138,Vienna,4.0,4.5,408.0,1,22099,1,1-15% offer,2017,0.2,3.0,Pension,1,4.1
Austria,Vienna,140.0,City centre,Donauturm,Kaerntner Strasse,527,Vienna,5.0,5.0,1748.0,1,22100,1,1-15% offer,2017,0.4,3.1,Hotel,1,4.8
Austria,Vienna,512.0,City centre,Donauturm,Kaerntner Strasse,142,Vienna,4.0,4.0,837.0,0,22101,1,15-50% offer,2017,0.1,2.8,Hotel,1,4.4
Austria,Vienna,340.0,City centre,Donauturm,Landstrasse,110,Vienna,4.0,4.5,2718.0,0,22104,1,1-15% offer,2017,0.6,3.2,Hotel,1,4.3
Austria,Vienna,34.0,City centre,Donauturm,Landstrasse,82,Vienna,3.5,4.0,25.0,1,22107,1,15-50% offer,2017,1.9,3.2,Apartment,1,4.1
Austria,Vienna,26.0,City centre,Donauturm,Landstrasse,91,Vienna,3.5,,,1,22108,1,15-50% offer,2017,0.9,2.4,Apartment,1,2.5
Austria,Vienna,97.0,City centre,Donauturm,Landstrasse,83,Vienna,3.5,4.5,35.0,1,22110,1,15-50% offer,2017,1.7,3.0,Apartment,1,4.4
Austria,Vienna,11.0,City centre,Donauturm,Landstrasse,95,Vienna,4.5,,,1,22111,1,15-50% offer,2017,1.8,3.1,Apartment,1,4.0
Austria,Vienna,15.0,City centre,Donauturm,Landstrasse,131,Vienna,3.0,,,0,22112,1,15-50% offer,2017,1.4,2.8,Apartment,1,3.7
Austria,Vienna,84.0,City centre,Donauturm,Landstrasse,162,Vienna,4.0,5.0,610.0,1,22113,1,15-50% offer,2017,1.1,2.8,Bed and breakfast,1,4.8
Austria,Vienna,152.0,City centre,Donauturm,Landstrasse,177,Vienna,5.0,4.0,2015.0,0,22114,1,50%-75% offer,2017,0.5,3.0,Hotel,1,4.3
Austria,Vienna,3.0,City centre,Donauturm,Landstrasse,122,Vienna,2.0,,,1,22115,1,1-15% offer,2017,1.5,3.6,Apartment,1,4.0
Austria,Vienna,25.0,City centre,Donauturm,Landstrasse,79,Vienna,3.0,,,1,22116,0,0% no offer,2017,1.6,3.7,Apartment,1,2.0
Austria,Vienna,181.0,City centre,Donauturm,Landstrasse,82,Vienna,4.0,4.0,395.0,0,22117,1,15-50% offer,2017,1.4,3.1,Hotel,1,4.0
Austria,Vienna,359.0,City centre,Donauturm,Landstrasse,82,Vienna,4.0,4.0,717.0,1,22118,1,1-15% offer,2017,1.7,3.3,Hotel,1,4.1
